Customer_Age,Gender,Annual_Income,Purchase_Frequency,Discount_Offered,Product_Category,Marketing_Spend,Seasonal_Demand_Index,Store_Location,Monthly_Sales,Purchase_Decision,Loyalty_Category
21,Female,145050.25,9,19.1,Groceries,500.0,1.02,Suburban,1391.18,Yes,High
39,Male,102205.76,9,4.2,Electronics,2798.26,1.32,Suburban,1156.6,No,High
27,Female,82058.53,9,19.5,Groceries,1366.24,1.29,Mall,1214.11,Yes,High
31,Female,84069.54,7,5.7,Electronics,4977.03,0.9,Mall,966.69,No,Medium
27,Male,68153.15,9,12.4,Beauty,8220.45,0.84,Downtown,919.88,No,Medium
57,Male,88152.63,8,5.1,Electronics,16952.88,0.93,Downtown,1155.7,Yes,High
34,Male,20000.0,5,0.7,Clothing,3031.14,1.43,Downtown,835.91,Yes,Low
22,Male,57494.9,4,6.4,Toys,7714.0,0.92,Suburban,674.36,No,Medium
44,Male,75238.34,6,16.1,Groceries,12447.68,1.02,Downtown,1045.31,No,Medium
20,Female,37505.7,8,14.4,Electronics,5749.4,0.87,Mall,813.8,Yes,Medium
37,Male,80895.78,12,15.0,Groceries,1390.19,1.21,Downtown,1404.52,Yes,High
18,Female,60205.54,8,7.4,Electronics,4680.61,1.05,Online,1101.31,Yes,Medium
19,Male,160410.77,7,20.6,Clothing,17524.8,0.7,Suburban,1657.45,Yes,High
37,Female,146424.49,9,21.1,Electronics,21931.71,0.71,Suburban,1507.49,Yes,High
43,Male,52830.95,9,10.7,Groceries,5141.14,0.4,Airport,958.6,No,Medium
37,Male,61841.9,10,26.4,Books,10901.3,0.75,Mall,1424.18,No,Medium
33,Female,64265.71,4,19.3,Groceries,1117.9,1.24,Mall,970.56,Yes,Medium
31,Female,53205.95,5,21.4,Home & Garden,1412.34,1.4,Online,1027.08,Yes,Medium
18,Male,73516.69,10,8.3,Clothing,15276.1,1.21,Suburban,1236.05,Yes,High
26,Female,45643.4,13,0.0,Clothing,726.49,1.17,Airport,1102.73,No,Medium
29,Male,37890.19,13,26.0,Books,1060.44,0.96,Suburban,1394.52,Yes,Medium
47,Female,91045.16,7,24.7,Electronics,2728.37,1.23,Airport,1282.95,No,Medium
39,Male,91356.08,8,3.7,Toys,4452.92,1.09,Suburban,954.53,Yes,High
18,Male,44604.83,6,11.2,Groceries,4629.4,1.54,Suburban,906.81,Yes,Medium
38,Female,104342.39,10,19.8,Books,1726.39,0.97,Mall,1465.05,Yes,High
30,Female,48628.57,8,19.6,Clothing,12667.16,1.4,Downtown,1238.35,Yes,Medium
26,Male,75685.2,5,25.8,Clothing,12331.4,1.26,Downtown,1211.02,Yes,Medium
42,Female,100501.44,10,4.2,Sports,2488.46,1.22,Suburban,1174.37,Yes,High
47,Female,65574.95,13,12.9,Books,2848.38,0.4,Mall,1278.88,No,High
46,Male,83711.01,3,2.9,Clothing,6061.66,1.28,Online,1010.41,Yes,Medium
24,Female,51510.47,10,11.7,Beauty,5438.3,0.96,Mall,1204.68,No,Medium
31,Male,60446.99,1,0.5,Electronics,2408.74,0.87,Airport,648.57,No,Medium
38,Female,60163.77,5,26.9,Electronics,2674.26,0.56,Suburban,871.58,Yes,Medium
46,Female,45911.28,10,15.8,Groceries,2138.85,1.0,Downtown,1020.33,No,Medium
29,Female,61045.1,13,25.5,Sports,1341.91,1.01,Downtown,1359.15,Yes,High
32,Male,30743.88,11,1.8,Beauty,3063.72,0.61,Mall,852.41,No,Medium
21,Male,52165.59,6,6.8,Groceries,5798.73,0.56,Suburban,898.05,No,Medium
20,Male,57833.16,9,7.8,Electronics,6773.33,1.15,Downtown,1182.49,Yes,Medium
44,Male,58668.92,11,11.6,Home & Garden,7545.11,1.26,Suburban,1292.05,No,Medium
51,Male,59101.2,8,24.1,Clothing,2347.87,1.06,Mall,979.03,Yes,Medium
34,Female,64658.39,6,11.6,Groceries,7233.11,1.35,Suburban,857.99,No,Medium
47,Male,84751.27,4,6.1,Groceries,500.0,0.97,Airport,837.99,No,Medium
39,Male,103260.87,10,1.9,Electronics,3241.35,0.98,Mall,1266.43,Yes,High
27,Female,48188.35,13,2.4,Groceries,7897.08,0.72,Mall,1090.78,Yes,Medium
39,Male,36539.71,6,22.8,Groceries,4971.87,0.53,Online,1027.84,Yes,Medium
53,Female,39605.89,6,13.3,Sports,3212.87,1.56,Suburban,833.19,Yes,Medium
34,Male,52268.74,8,21.8,Home & Garden,5173.15,1.34,Mall,1034.56,Yes,Medium
53,Female,55926.56,8,20.5,Clothing,11872.88,0.58,Online,1006.78,Yes,Medium
18,Male,45376.85,10,4.1,Clothing,4177.95,1.05,Mall,910.97,No,Medium
44,Male,34880.98,7,4.3,Clothing,8041.85,0.97,Airport,865.38,Yes,Medium
36,Female,53087.4,8,22.7,Clothing,19749.33,0.92,Suburban,1187.08,Yes,Medium
31,Male,73018.53,8,21.6,Home & Garden,6113.54,0.88,Mall,1002.05,Yes,Medium
36,Female,89793.69,13,11.3,Beauty,4258.67,1.11,Downtown,1491.76,Yes,High
18,Male,50465.43,8,2.3,Home & Garden,500.0,1.25,Online,711.37,No,Medium
32,Male,54244.47,6,0.4,Home & Garden,2345.84,1.12,Airport,670.5,No,Medium
39,Female,41957.23,9,8.6,Groceries,4167.14,0.96,Online,782.99,Yes,Medium
52,Male,65646.25,6,0.3,Clothing,7977.84,0.95,Mall,867.58,No,Medium
28,Female,43631.78,7,6.9,Toys,2882.2,1.28,Downtown,904.43,No,Medium
25,Female,88815.74,6,12.6,Beauty,16101.67,1.14,Downtown,1376.53,No,Medium
28,Female,27304.92,12,3.6,Groceries,1585.85,1.02,Online,1061.37,No,Medium
45,Female,55711.42,4,3.1,Clothing,6823.98,0.99,Suburban,873.38,No,Medium
38,Male,77521.37,7,26.9,Sports,2715.29,1.1,Suburban,1218.74,Yes,Medium
28,Male,73106.5,6,17.6,Electronics,3327.55,0.86,Mall,888.09,Yes,Medium
41,Male,200000.0,10,28.0,Sports,8110.13,1.25,Suburban,1956.54,Yes,High
36,Female,79431.9,3,10.4,Books,1756.41,0.68,Mall,797.22,No,Medium
46,Female,40365.39,7,20.3,Electronics,509.12,0.88,Suburban,971.97,No,Medium
26,Male,63578.02,6,6.1,Beauty,3672.51,1.18,Mall,852.06,No,Medium
31,Female,27436.57,7,18.6,Beauty,3762.31,0.66,Online,868.85,No,Medium
30,Male,64052.31,5,3.9,Toys,7976.88,0.53,Downtown,647.97,No,Medium
18,Female,43968.43,10,0.1,Groceries,17260.22,1.02,Suburban,956.26,No,Medium
38,Male,105392.89,8,27.9,Clothing,500.0,0.49,Suburban,1109.77,No,High
38,Female,50664.72,6,16.6,Groceries,4478.64,0.61,Online,846.42,No,Medium
35,Female,62904.46,7,27.8,Groceries,5717.19,1.23,Suburban,1074.89,Yes,Medium
32,Male,48531.89,6,10.0,Clothing,21273.04,0.94,Suburban,960.19,Yes,Medium
18,Male,159082.94,14,9.8,Groceries,14287.7,1.39,Mall,1971.14,Yes,High
29,Male,56791.04,9,12.0,Home & Garden,6231.81,0.64,Suburban,893.75,No,Medium
30,Male,166713.79,7,21.2,Electronics,3688.52,0.97,Online,1437.46,Yes,High
25,Male,100190.75,8,17.0,Clothing,880.85,1.12,Online,1227.41,Yes,High
33,Female,84862.59,8,27.8,Electronics,2423.97,0.65,Suburban,1210.29,Yes,Medium
39,Female,80187.41,12,0.8,Sports,4398.86,1.31,Mall,1198.08,Yes,High
57,Female,81198.65,10,21.2,Home & Garden,6458.57,1.15,Downtown,1424.24,No,High
37,Male,25435.95,11,9.9,Electronics,5044.77,0.52,Mall,967.92,No,Medium
38,Female,58006.69,9,5.4,Beauty,6260.96,0.99,Mall,1120.03,No,Medium
34,Female,101756.12,5,15.3,Electronics,2803.17,1.12,Suburban,1070.01,Yes,Medium
18,Male,65075.71,6,15.2,Groceries,6502.92,0.82,Downtown,901.49,No,Medium
34,Female,33029.63,8,4.1,Sports,775.91,0.56,Online,629.33,No,Medium
35,Female,64961.69,6,6.1,Books,887.19,1.08,Suburban,887.96,No,Medium
64,Male,156343.07,10,12.2,Electronics,888.65,1.66,Mall,1577.27,No,High
32,Male,124392.99,10,12.3,Toys,11075.85,0.88,Downtown,1371.93,No,High
38,Female,64650.64,7,9.5,Toys,500.0,1.47,Suburban,968.7,Yes,Medium
34,Male,107310.3,8,4.5,Groceries,8085.04,0.77,Airport,1059.47,Yes,High
20,Female,55520.18,12,0.1,Groceries,1330.07,1.06,Suburban,1078.47,No,Medium
48,Female,28447.61,8,29.1,Electronics,3159.6,1.23,Mall,946.16,No,Medium
44,Female,42004.09,8,28.3,Groceries,12382.11,1.0,Downtown,1211.63,Yes,Medium
44,Male,145684.65,12,14.5,Groceries,4408.69,0.91,Suburban,1645.9,Yes,High
24,Male,58148.7,5,29.9,Sports,1179.36,1.22,Online,988.56,Yes,Medium
51,Female,59045.48,6,20.2,Groceries,1671.0,1.57,Mall,1270.42,Yes,Medium
18,Female,57402.1,9,2.1,Home & Garden,12656.64,1.09,Online,1056.54,No,Medium
42,Male,172788.5,8,3.5,Electronics,2785.6,0.85,Online,1195.71,No,High
61,Female,150352.04,13,27.5,Electronics,4421.36,0.94,Online,1756.17,No,High
23,Female,200000.0,5,18.9,Electronics,3080.3,1.76,Online,1660.58,Yes,High
28,Male,61588.64,8,25.3,Electronics,2377.6,1.04,Downtown,1186.39,Yes,Medium
36,Male,77309.14,4,26.9,Groceries,1263.37,0.82,Online,942.35,Yes,Medium
28,Female,31239.36,3,13.4,Books,5794.86,0.66,Downtown,502.25,No,Low
18,Male,139556.18,13,1.5,Home & Garden,6333.53,0.45,Downtown,1290.77,No,High
35,Male,37192.62,6,5.6,Groceries,1607.13,1.11,Downtown,683.5,No,Medium
22,Male,74320.57,7,2.0,Home & Garden,7779.74,1.2,Suburban,940.97,Yes,Medium
40,Male,38526.59,10,5.7,Clothing,9639.11,0.88,Mall,876.62,Yes,Medium
23,Female,49678.22,7,12.3,Groceries,12671.02,1.0,Suburban,932.52,No,Medium
53,Female,43876.06,8,3.5,Clothing,878.99,0.65,Downtown,822.32,No,Medium
25,Male,49208.3,8,5.0,Sports,1811.48,1.04,Suburban,1045.97,Yes,Medium
31,Female,50929.31,7,13.4,Clothing,9843.2,1.14,Suburban,1099.07,Yes,Medium
44,Female,50696.94,8,10.2,Electronics,1106.6,0.84,Airport,1022.78,No,Medium
20,Female,101156.31,8,14.0,Groceries,500.0,1.51,Suburban,1365.32,Yes,High
37,Male,38381.23,9,12.9,Toys,10233.03,0.75,Downtown,1074.34,Yes,Medium
50,Male,74460.64,6,19.3,Home & Garden,1975.96,1.09,Suburban,1006.24,No,Medium
18,Female,122606.44,8,28.1,Books,2676.42,1.25,Suburban,1483.61,Yes,High
37,Female,51593.82,11,3.2,Home & Garden,2955.97,0.98,Mall,979.83,Yes,Medium
38,Male,46573.91,12,3.0,Groceries,9428.41,0.94,Suburban,1085.12,Yes,Medium
44,Male,59426.35,7,25.6,Sports,2061.63,0.57,Suburban,995.31,No,Medium
20,Male,120284.84,9,15.2,Books,11141.09,1.41,Suburban,1567.39,Yes,High
19,Female,73482.98,6,23.0,Clothing,4797.81,0.95,Suburban,1116.3,No,Medium
41,Female,51131.1,9,6.5,Clothing,3746.33,1.16,Online,981.57,No,Medium
38,Female,84939.42,5,24.9,Clothing,1969.77,1.2,Downtown,1118.53,Yes,Medium
38,Male,38430.6,13,27.7,Groceries,1396.66,0.81,Airport,1306.74,No,Medium
39,Female,93754.51,12,19.1,Toys,4891.61,0.94,Mall,1485.45,Yes,High
26,Female,81802.16,8,3.2,Clothing,2961.03,1.4,Downtown,930.62,Yes,Medium
37,Male,57173.8,8,26.9,Groceries,12068.48,0.66,Online,1053.14,No,Medium
38,Female,43847.04,5,23.8,Toys,3382.81,1.64,Airport,1142.93,Yes,Medium
26,Female,42805.2,9,22.5,Groceries,3585.1,0.78,Mall,1038.43,Yes,Medium
57,Male,87130.65,3,1.1,Groceries,2695.47,0.65,Suburban,637.82,No,Medium
40,Female,123283.95,8,24.0,Toys,7785.72,1.04,Mall,1413.13,Yes,High
20,Male,48489.44,10,4.1,Groceries,2765.53,1.66,Suburban,1076.82,Yes,Medium
42,Female,83863.74,8,6.7,Home & Garden,1569.05,0.43,Downtown,973.26,No,Medium
23,Female,23487.93,13,17.3,Electronics,9903.63,0.96,Airport,1100.64,No,Medium
44,Female,49783.87,3,7.9,Clothing,4541.96,1.14,Online,712.91,Yes,Medium
48,Female,65658.73,9,19.8,Groceries,4476.44,1.01,Downtown,1192.97,Yes,Medium
25,Male,42315.7,4,18.2,Groceries,4718.59,1.11,Airport,868.04,Yes,Medium
46,Female,41751.98,12,3.2,Beauty,6344.15,0.78,Mall,1048.61,Yes,Medium
39,Female,47756.26,8,19.7,Beauty,1877.6,0.82,Downtown,1030.37,Yes,Medium
44,Male,77176.6,6,27.7,Toys,500.0,0.96,Suburban,1037.39,Yes,Medium
57,Female,60723.79,8,4.8,Clothing,8319.29,0.66,Suburban,822.24,Yes,Medium
32,Female,21777.65,8,17.9,Beauty,690.02,0.99,Airport,1119.66,Yes,Medium
25,Male,23095.78,7,10.3,Home & Garden,6397.43,0.88,Airport,759.76,No,Medium
24,Female,49233.16,9,13.8,Groceries,500.0,0.86,Downtown,951.49,Yes,Medium
25,Female,83834.39,9,8.6,Sports,2352.48,1.1,Mall,1195.85,No,High
34,Male,20000.0,6,10.6,Electronics,500.0,0.45,Airport,744.7,No,Medium
39,Female,51942.37,5,0.9,Electronics,3692.96,0.93,Airport,644.16,No,Medium
38,Male,51258.22,7,29.4,Books,5294.11,1.7,Downtown,1149.68,Yes,Medium
44,Male,133509.0,8,18.7,Home & Garden,940.29,0.67,Suburban,1163.31,No,High
35,Male,55008.58,8,15.0,Groceries,2323.11,1.39,Online,1238.87,Yes,Medium
52,Female,80761.03,7,11.5,Groceries,13313.44,1.02,Suburban,1034.11,Yes,Medium
31,Female,71566.61,8,16.2,Toys,2920.47,0.82,Suburban,1050.47,No,Medium
67,Male,22982.13,5,11.4,Home & Garden,8111.19,0.6,Airport,563.9,No,Low
42,Male,97915.38,12,10.8,Groceries,13099.15,1.04,Downtown,1310.52,Yes,High
24,Female,74269.34,7,13.9,Electronics,18315.24,1.44,Online,1239.57,No,Medium
22,Male,85981.69,10,8.3,Clothing,11429.72,0.88,Suburban,1138.42,Yes,High
40,Female,200000.0,5,5.4,Beauty,1909.27,0.98,Downtown,1282.41,No,High
32,Female,23522.17,8,16.7,Groceries,16426.8,1.3,Downtown,1290.51,Yes,Medium
43,Female,157961.02,6,25.3,Groceries,8367.09,1.1,Downtown,1557.78,Yes,High
40,Female,57758.83,6,4.6,Groceries,9075.41,0.53,Downtown,876.23,No,Medium
34,Male,76989.15,11,1.0,Toys,500.0,1.03,Mall,1174.19,No,High
24,Female,65185.94,10,7.4,Home & Garden,15421.6,1.45,Downtown,1280.47,No,Medium
18,Female,53940.51,9,29.4,Home & Garden,7527.42,0.99,Online,1197.84,Yes,Medium
29,Female,50153.26,9,24.9,Groceries,7304.39,0.3,Suburban,1065.91,No,Medium
45,Male,78630.08,9,17.9,Electronics,500.0,1.12,Suburban,1201.76,Yes,Medium
37,Female,31231.06,5,27.9,Toys,1323.53,0.94,Suburban,803.58,No,Medium
20,Male,97056.14,11,13.4,Toys,16385.39,0.45,Mall,1355.49,Yes,High
37,Male,54157.84,7,29.5,Toys,3472.51,0.5,Suburban,934.0,Yes,Medium
39,Male,37900.54,6,8.9,Toys,2536.31,1.29,Downtown,813.64,No,Medium
24,Female,53249.77,5,7.2,Books,9161.06,0.78,Online,758.01,No,Medium
36,Female,125032.61,10,19.1,Home & Garden,500.0,0.73,Suburban,1235.63,Yes,High
35,Female,51025.85,8,11.3,Books,2697.34,0.99,Downtown,715.33,No,Medium
21,Female,79776.33,10,18.8,Home & Garden,2355.63,0.81,Suburban,1111.4,Yes,High
39,Male,46271.3,9,9.1,Electronics,2152.77,1.03,Mall,1141.74,Yes,Medium
41,Female,97413.12,10,18.5,Groceries,1838.62,0.94,Suburban,1266.14,No,High
47,Male,93949.17,9,8.3,Beauty,1179.09,0.64,Airport,1141.84,Yes,High
47,Female,168057.2,9,1.5,Groceries,949.21,0.85,Mall,1131.61,No,High
18,Female,61082.05,11,27.4,Toys,5113.9,1.13,Mall,1255.38,Yes,Medium
23,Female,93160.83,10,26.5,Electronics,12590.96,1.01,Suburban,1346.15,Yes,High
41,Female,70037.71,7,29.1,Clothing,3555.05,0.98,Online,1143.23,Yes,Medium
41,Male,127476.99,9,21.5,Groceries,1768.93,1.58,Suburban,1772.28,Yes,High
41,Male,46552.64,9,20.5,Electronics,866.77,1.22,Mall,1147.52,Yes,Medium
80,Female,96786.03,2,16.8,Electronics,8864.0,1.26,Suburban,1180.62,No,Medium
41,Male,60500.48,11,3.8,Clothing,17787.86,0.95,Mall,1182.56,No,Medium
48,Male,64580.07,9,5.7,Books,2147.42,1.07,Downtown,1147.25,No,Medium
46,Female,69816.91,5,8.7,Electronics,1719.15,0.87,Downtown,1026.55,No,Medium
42,Female,75650.21,2,26.7,Clothing,4600.15,1.23,Airport,963.93,Yes,Medium
31,Male,62921.35,6,5.2,Electronics,7465.59,0.97,Suburban,828.28,Yes,Medium
44,Male,74243.97,6,27.7,Home & Garden,3038.54,1.07,Suburban,998.3,Yes,Medium
25,Female,146798.23,6,15.7,Home & Garden,4972.25,1.05,Mall,1297.11,Yes,High
32,Female,109150.19,8,21.5,Home & Garden,6303.58,0.99,Mall,1339.93,No,High
29,Male,102984.38,7,3.3,Groceries,16168.97,1.88,Downtown,1553.18,Yes,High
35,Male,53102.83,7,8.1,Clothing,901.84,0.8,Downtown,691.79,No,Medium
62,Male,42750.44,6,28.8,Sports,29727.67,0.8,Online,1228.83,Yes,Medium
18,Male,107517.14,8,8.0,Books,2489.19,1.21,Mall,1013.09,Yes,High
43,Male,103339.88,9,8.9,Electronics,6422.3,0.82,Suburban,1155.42,Yes,High
18,Female,139258.98,8,5.9,Groceries,4248.0,0.91,Airport,1295.38,No,High
29,Female,49304.22,7,3.9,Clothing,3334.17,0.67,Suburban,813.85,No,Medium
48,Female,59455.35,12,7.0,Clothing,5987.89,1.15,Downtown,1266.01,No,Medium
35,Male,29378.35,8,19.3,Sports,2518.87,1.15,Downtown,1010.59,Yes,Medium
22,Female,54804.07,6,13.7,Groceries,674.0,0.91,Suburban,911.22,No,Medium
26,Male,109758.8,9,16.6,Clothing,3355.89,1.21,Online,1354.35,No,High
43,Female,52812.73,7,3.7,Clothing,3689.84,0.44,Downtown,627.68,No,Medium
26,Female,91857.63,8,24.1,Beauty,1127.62,0.79,Downtown,1007.44,Yes,High
37,Male,60627.49,9,23.5,Books,13714.71,0.95,Online,1209.89,Yes,Medium
35,Female,78416.04,7,0.6,Toys,1290.46,0.65,Downtown,811.84,No,Medium
27,Male,37568.06,7,11.5,Groceries,2631.62,0.48,Mall,868.32,Yes,Medium
60,Female,69588.88,6,2.1,Home & Garden,841.68,0.91,Downtown,790.84,Yes,Medium
42,Male,20000.0,7,23.8,Groceries,3837.16,1.21,Mall,931.69,Yes,Medium
18,Male,60736.93,10,22.1,Electronics,1838.23,1.38,Suburban,1307.93,Yes,Medium
37,Female,29511.01,10,27.1,Groceries,3359.6,0.84,Downtown,1067.72,Yes,Medium
27,Male,121875.16,7,7.1,Groceries,1271.99,1.22,Mall,1266.58,No,High
45,Female,98366.83,10,13.7,Clothing,500.0,1.19,Mall,1487.99,Yes,High
25,Male,84211.84,6,5.5,Books,7553.09,1.37,Mall,1273.61,Yes,Medium
33,Female,142665.55,8,11.1,Clothing,5123.37,0.89,Mall,1345.37,Yes,High
41,Female,41493.71,7,15.7,Groceries,2083.18,0.46,Suburban,826.5,No,Medium
45,Female,159761.42,7,1.6,Electronics,500.0,1.02,Suburban,1398.77,Yes,High
20,Male,106281.98,8,21.4,Groceries,10033.75,0.7,Mall,1281.36,Yes,High
30,Male,59247.43,9,16.3,Electronics,930.41,0.78,Mall,1093.68,Yes,Medium
29,Male,117661.29,9,24.9,Clothing,13349.6,0.91,Mall,1391.16,No,High
27,Male,38353.79,10,8.2,Groceries,3256.14,0.9,Mall,922.95,No,Medium
56,Female,44156.62,7,27.1,Groceries,2080.51,1.04,Downtown,1149.9,Yes,Medium
39,Female,49190.73,4,30.0,Groceries,6769.32,1.21,Downtown,943.02,Yes,Medium
19,Female,51188.31,6,27.6,Clothing,10471.33,0.89,Suburban,1059.13,Yes,Medium
46,Female,39319.52,7,23.3,Groceries,2315.84,1.12,Online,836.31,Yes,Medium
60,Female,122920.96,6,24.4,Groceries,2615.7,1.0,Airport,1483.79,Yes,High
47,Female,58590.51,10,17.2,Clothing,2838.38,1.28,Mall,1326.94,No,Medium
18,Male,79539.4,7,5.7,Books,12775.98,0.94,Suburban,1073.67,No,Medium
29,Female,50140.26,15,20.3,Groceries,5897.44,0.98,Downtown,1466.91,Yes,High
50,Female,26834.77,5,21.4,Clothing,1422.74,0.89,Online,807.16,Yes,Medium
26,Female,76327.15,5,29.6,Toys,1022.83,0.95,Online,1202.95,No,Medium
40,Male,25632.79,6,16.2,Books,1309.21,0.76,Downtown,683.01,No,Medium
44,Male,64436.68,8,8.1,Beauty,1529.66,0.74,Airport,985.05,Yes,Medium
23,Male,33644.26,13,20.5,Home & Garden,1308.02,1.23,Suburban,1362.55,No,Medium
34,Female,180122.65,8,29.4,Groceries,5372.13,0.68,Suburban,1754.77,Yes,High
18,Female,105180.86,6,5.3,Clothing,616.12,0.9,Mall,752.33,Yes,High
22,Male,70307.39,13,9.8,Home & Garden,2449.88,1.3,Mall,1266.44,Yes,High
31,Female,125443.23,5,16.3,Beauty,4904.86,0.89,Airport,1061.65,No,High
20,Male,43677.89,7,5.1,Home & Garden,1718.51,1.25,Downtown,864.86,No,Medium
54,Male,87508.83,6,0.7,Toys,500.0,0.82,Suburban,639.55,No,Medium
18,Male,73692.81,6,10.1,Clothing,500.0,0.68,Suburban,645.42,No,Medium
29,Female,76097.09,7,26.0,Groceries,673.18,0.52,Suburban,1255.12,Yes,Medium
36,Female,125986.75,8,1.3,Toys,9034.66,1.39,Suburban,1368.82,No,High
52,Male,96182.37,6,12.9,Sports,5362.73,0.66,Suburban,1027.28,No,Medium
18,Female,77042.86,9,22.9,Beauty,500.0,1.22,Suburban,1286.21,No,Medium
48,Male,29152.96,7,28.6,Sports,2480.25,0.7,Suburban,936.91,Yes,Medium
35,Female,41263.44,6,29.6,Groceries,1632.7,1.4,Mall,1163.04,No,Medium
23,Female,62717.81,6,12.7,Groceries,4314.23,1.66,Mall,1000.63,Yes,Medium
40,Female,69873.48,6,28.5,Toys,3699.16,0.49,Mall,1030.6,No,Medium
37,Male,37897.99,5,1.1,Groceries,3280.45,0.67,Downtown,609.37,No,Medium
27,Female,200000.0,7,22.4,Clothing,1888.12,1.23,Suburban,1567.92,No,High
35,Female,142336.93,4,19.3,Groceries,741.34,1.15,Downtown,1351.96,Yes,High
30,Male,90112.52,12,7.5,Groceries,6781.28,1.23,Downtown,1320.33,Yes,High
36,Female,69132.05,6,15.2,Electronics,10595.35,0.83,Suburban,1113.32,Yes,Medium
42,Male,59973.06,10,3.9,Sports,14425.51,1.6,Downtown,1263.89,Yes,Medium
54,Female,41431.47,4,26.1,Electronics,500.0,1.04,Mall,1009.07,Yes,Medium
20,Male,69320.47,8,10.7,Groceries,6733.61,0.63,Online,886.02,No,Medium
60,Female,75858.99,2,18.8,Books,6482.33,0.92,Downtown,745.24,Yes,Medium
18,Female,35841.98,6,4.8,Groceries,14697.67,0.64,Airport,681.53,Yes,Medium
33,Male,78813.81,9,6.2,Books,1457.88,1.48,Downtown,1163.76,Yes,Medium
42,Male,61705.34,6,29.8,Clothing,6777.45,0.8,Mall,1237.41,Yes,Medium
38,Male,25689.86,10,22.6,Beauty,500.0,1.15,Mall,1226.9,No,Medium
27,Male,43371.71,6,28.9,Clothing,4988.12,0.86,Online,760.36,No,Medium
32,Male,54227.99,8,8.9,Electronics,2160.44,0.82,Downtown,924.6,No,Medium
29,Female,171373.23,3,4.9,Toys,7324.73,0.43,Suburban,750.39,No,High
27,Male,88082.74,5,15.1,Sports,9949.99,1.18,Downtown,1182.9,Yes,Medium
45,Male,34201.15,11,14.8,Clothing,2269.24,1.39,Suburban,1252.97,Yes,Medium
39,Female,85031.19,9,5.2,Beauty,3728.38,0.73,Online,1034.6,No,High
26,Male,30764.09,7,22.0,Groceries,624.44,0.54,Airport,820.11,No,Medium
45,Female,114588.28,8,10.9,Beauty,2697.04,1.24,Mall,1268.98,Yes,High
38,Female,52690.63,4,5.6,Groceries,2237.69,0.51,Suburban,520.7,Yes,Medium
44,Female,63636.16,12,10.0,Groceries,1011.34,1.37,Online,1291.61,No,High
42,Female,129398.7,11,16.9,Groceries,11244.21,0.73,Suburban,1493.2,No,High
25,Female,35037.48,6,21.8,Clothing,801.36,0.67,Downtown,898.83,Yes,Medium
28,Male,33163.2,9,14.5,Groceries,5049.43,1.07,Airport,987.22,No,Medium
43,Male,49809.23,14,15.8,Groceries,11042.86,0.69,Suburban,1227.58,Yes,High
42,Male,112077.37,8,4.2,Electronics,12150.31,0.79,Downtown,1034.48,No,High
